symbol,fold,method,y,p
AAPL,0,isotonic,1,0.675
AAPL,1,no_cal,1,0.838438857277714
AAPL,1,no_cal,1,0.7149096472797756
AAPL,1,no_cal,1,0.6966463644963927
AAPL,1,no_cal,1,0.8892531480993444
AAPL,1,no_cal,1,0.8306337310173203
AAPL,1,no_cal,1,0.8478732764881144
AAPL,1,no_cal,1,0.8139021600683901
AAPL,1,no_cal,1,0.6308568726627999
AAPL,1,no_cal,1,0.8635937936449497
AAPL,1,no_cal,1,0.6442874902787529
AAPL,1,no_cal,1,0.5374301974435002
AAPL,1,no_cal,1,0.743887856376114
AAPL,1,no_cal,1,0.6714930456454152
AAPL,1,no_cal,1,0.5678836507285985
AAPL,1,no_cal,0,0.8017039530530344
AAPL,1,no_cal,0,0.7337899028059675
AAPL,1,no_cal,0,0.320559365464175
AAPL,1,no_cal,0,0.4277479331998232
AAPL,1,no_cal,0,0.8023522350226487
AAPL,1,no_cal,0,0.9035304751091318
AAPL,1,no_cal,0,0.8082909157708107
AAPL,1,no_cal,1,0.9445255442525488
AAPL,1,no_cal,0,0.6776140807465465
AAPL,1,no_cal,0,0.8873894034335731
AAPL,1,no_cal,0,0.9520409653114167
AAPL,1,no_cal,0,0.8360347953362403
AAPL,1,no_cal,0,0.7637962825751009
AAPL,1,no_cal,0,0.9223616762678201
AAPL,1,no_cal,0,0.92351141592832
AAPL,1,no_cal,1,0.945950677251845
AAPL,1,no_cal,1,0.8369329087989418
AAPL,1,no_cal,1,0.3646218033032824
AAPL,1,no_cal,1,0.7907989094193544
AAPL,1,no_cal,1,0.9149397205243875
AAPL,1,no_cal,1,0.6702157128574372
AAPL,1,no_cal,1,0.7244708609582661
AAPL,1,no_cal,0,0.8400174218580916
AAPL,1,no_cal,0,0.45454528573840086
AAPL,1,no_cal,0,0.5915711318185234
AAPL,1,no_cal,1,0.7324234351605367
AAPL,1,no_cal,1,0.7516377640955033
AAPL,1,no_cal,1,0.7861374185220805
AAPL,1,no_cal,1,0.8835114298775776
AAPL,1,no_cal,1,0.861756778591378
AAPL,1,no_cal,1,0.8432561710635038
AAPL,1,no_cal,0,0.8641811186043623
AAPL,1,no_cal,0,0.9159171789418066
AAPL,1,no_cal,0,0.8528673217277605
AAPL,1,no_cal,0,0.8940825864971359
AAPL,1,no_cal,0,0.9407673161503026
AAPL,1,no_cal,0,0.7343731546331197
AAPL,1,no_cal,0,0.7337301684282254
AAPL,1,no_cal,0,0.7212456227284089
AAPL,1,no_cal,0,0.7667222404819258
AAPL,1,no_cal,0,0.8020514925269763
AAPL,1,no_cal,0,0.8379602526741283
AAPL,1,no_cal,0,0.6218494525280716
AAPL,1,no_cal,1,0.7801823628110093
AAPL,1,no_cal,1,0.9534094940429902
AAPL,1,no_cal,1,0.9469613841569186
AAPL,1,no_cal,1,0.9233240444476924
AAPL,1,no_cal,1,0.6722588551009457
AAPL,1,no_cal,1,0.6739817869397449
AAPL,1,no_cal,1,0.8496077023349721
AAPL,1,no_cal,1,0.6409956203679562
AAPL,1,no_cal,1,0.9002604702516153
AAPL,1,no_cal,1,0.9255844489460945
AAPL,1,no_cal,0,0.8877598923689013
AAPL,1,no_cal,0,0.8036905506241181
AAPL,1,no_cal,0,0.861453435263867
AAPL,1,no_cal,0,0.6935296759721534
AAPL,1,no_cal,0,0.9574971035780883
AAPL,1,no_cal,0,0.9269108172244402
AAPL,1,no_cal,0,0.8670991181516162
AAPL,1,no_cal,1,0.8410649512583044
AAPL,1,no_cal,1,0.637601424503971
AAPL,1,no_cal,1,0.8986073039477233
AAPL,1,no_cal,1,0.7687656501076577
AAPL,1,no_cal,1,0.8784686424640676
AAPL,1,no_cal,1,0.6309517776960714
AAPL,1,no_cal,1,0.8879904358901123
AAPL,1,no_cal,0,0.8087990899332685
AAPL,1,no_cal,1,0.9161696839624227
AAPL,1,no_cal,1,0.8761367219185776
AAPL,1,no_cal,0,0.8032002965619593
AAPL,1,no_cal,1,0.8304313401922522
AAPL,1,no_cal,1,0.7518154648981137
AAPL,1,no_cal,1,0.42160828808284845
AAPL,1,no_cal,1,0.7656426132594526
AAPL,1,no_cal,1,0.9037552151620587
AAPL,1,no_cal,1,0.5907600264705832
AAPL,1,no_cal,1,0.5269286829340268
AAPL,1,no_cal,1,0.6500462567784823
AAPL,1,no_cal,1,0.6863034423938451
AAPL,1,no_cal,1,0.5901367184766009
AAPL,1,no_cal,1,0.642383017293814
