symbol,fold,hyperparam_kind,n_estimators,max_depth,min_samples_leaf,rmse,mae,r2,train_seconds,predict_seconds,n_train,n_test
AAPL,6,min_samples_leaf,500,12,5,0.006511076431295973,0.0052458738031592065,0.17215819709364222,0.2086,0.0236,1578,126
AAPL,6,min_samples_leaf,500,12,10,0.006321439421949068,0.005100461025462545,0.21967822348815635,0.1912,0.0264,1578,126
AAPL,6,min_samples_leaf,500,12,20,0.006228552644600627,0.005094706640690853,0.24244172742456072,0.1815,0.0251,1578,126
AAPL,6,min_samples_leaf,500,12,50,0.006419799402839842,0.005323507035234162,0.1952060885852256,0.1681,0.0263,1578,126
AAPL,7,n_estimators,100,12,10,0.006918524693614989,0.005364686435084873,0.01772453582659117,0.0476,0.0136,1641,126
AAPL,7,n_estimators,250,12,10,0.0067788451974374235,0.005288869468906649,0.056986873070942634,0.0985,0.0137,1641,126
AAPL,7,n_estimators,500,12,10,0.00684391309867228,0.005351638656693962,0.038796644538299674,0.214,0.0265,1641,126
AAPL,7,n_estimators,1000,12,10,0.006945280293177583,0.005394673104505054,0.010112454253070169,0.3879,0.0501,1641,126
AAPL,7,max_depth,500,6,10,0.006946957804580105,0.005344632271568127,0.009634216338033963,0.1718,0.0252,1641,126
AAPL,7,max_depth,500,9,10,0.00698075216464291,0.005401878760813388,-2.4740976741544074e-05,0.2014,0.0261,1641,126
AAPL,7,max_depth,500,12,10,0.00684391309867228,0.005351638656693961,0.038796644538299785,0.2075,0.0263,1641,126
AAPL,7,max_depth,500,15,10,0.006834539755613338,0.005284016116112749,0.04142774720962783,0.1989,0.0259,1641,126
AAPL,7,max_depth,500,None,10,0.0069560169171608,0.0053708597840757275,0.007049578515302635,0.2196,0.0265,1641,126
AAPL,7,min_samples_leaf,500,12,5,0.007756412251356308,0.005821172040277337,-0.23460511728266797,0.219,0.0266,1641,126
AAPL,7,min_samples_leaf,500,12,10,0.006843913098672279,0.005351638656693962,0.038796644538299896,0.1966,0.0231,1641,126
AAPL,7,min_samples_leaf,500,12,20,0.006245732080815794,0.004992580887679117,0.19947848854550587,0.1818,0.0241,1641,126
AAPL,7,min_samples_leaf,500,12,50,0.005811373241758015,0.004677818736287628,0.3069511549082743,0.1796,0.0262,1641,126
AAPL,8,n_estimators,100,12,10,0.0092872930154031,0.007307960458422861,-0.30515351895816845,0.0463,0.0137,1704,126
AAPL,8,n_estimators,250,12,10,0.00930619472850201,0.00731151334920556,-0.3104714822079764,0.1013,0.0133,1704,126
AAPL,8,n_estimators,500,12,10,0.009486512183546536,0.0075276157523841,-0.36174704229212473,0.1922,0.0254,1704,126
